epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2895.17,1.27463,0.93248,0.00486,0.89257,0.54682,0.70105,0.49643,1.10562,0.81561,0.00593,0.0007393,0.0007393,0.0007393
81,2931.48,1.27652,0.92132,0.00495,0.83986,0.55356,0.6919,0.47741,1.1397,0.80893,0.00591,0.000736,0.000736,0.000736
82,2967.29,1.26058,0.92095,0.00478,0.84627,0.5431,0.67927,0.48453,1.11699,0.82978,0.0059,0.0007327,0.0007327,0.0007327
83,3003.34,1.26428,0.92187,0.00492,0.84806,0.58104,0.70941,0.49961,1.09412,0.82835,0.00615,0.0007294,0.0007294,0.0007294
84,3039.81,1.24554,0.9252,0.00483,0.84316,0.56698,0.6877,0.49322,1.09321,0.78623,0.006,0.0007261,0.0007261,0.0007261
85,3075.86,1.27373,0.9223,0.00465,0.82139,0.57633,0.6958,0.49349,1.07776,0.82422,0.0057,0.0007228,0.0007228,0.0007228
86,3111.73,1.23608,0.90691,0.00478,0.80003,0.56562,0.70612,0.4921,1.07569,0.80332,0.00547,0.0007195,0.0007195,0.0007195
87,3147.99,1.23316,0.89997,0.00471,0.83504,0.53023,0.67172,0.48859,1.06726,0.81945,0.00547,0.0007162,0.0007162,0.0007162
88,3183.75,1.25387,0.90508,0.00467,0.81398,0.57918,0.68921,0.49381,1.0601,0.79441,0.00538,0.0007129,0.0007129,0.0007129
89,3219.96,1.24829,0.90267,0.0047,0.76338,0.61628,0.71928,0.50903,1.07388,0.79794,0.00553,0.0007096,0.0007096,0.0007096
90,3256.26,1.24328,0.9034,0.00477,0.90086,0.53295,0.69042,0.49903,1.07808,0.77911,0.0056,0.0007063,0.0007063,0.0007063
91,3291.98,1.25301,0.89699,0.00474,0.87,0.5538,0.66261,0.48849,1.06922,0.80164,0.0058,0.000703,0.000703,0.000703
92,3328.47,1.21871,0.89201,0.00476,0.85081,0.55564,0.67598,0.49349,1.07834,0.78887,0.00554,0.0006997,0.0006997,0.0006997
93,3364.75,1.22051,0.8905,0.00449,0.89798,0.5298,0.67409,0.50371,1.05874,0.78333,0.00547,0.0006964,0.0006964,0.0006964
94,3401.35,1.2186,0.8923,0.00473,0.90158,0.54928,0.70363,0.50875,1.06805,0.78659,0.00568,0.0006931,0.0006931,0.0006931
95,3437.54,1.22158,0.90475,0.00491,0.79615,0.5649,0.68395,0.5035,1.06112,0.79503,0.00574,0.0006898,0.0006898,0.0006898
96,3474.31,1.23485,0.90364,0.00478,0.89446,0.55755,0.69692,0.51137,1.05048,0.7728,0.00539,0.0006865,0.0006865,0.0006865
97,3511.13,1.24698,0.89113,0.00452,0.89672,0.53881,0.70778,0.51435,1.03748,0.78398,0.00551,0.0006832,0.0006832,0.0006832
98,3548.45,1.20985,0.86721,0.00455,0.89059,0.53596,0.71131,0.50699,1.04465,0.80349,0.00533,0.0006799,0.0006799,0.0006799
99,3585.03,1.23287,0.87533,0.00439,0.90298,0.54685,0.7272,0.52318,1.01329,0.77077,0.00514,0.0006766,0.0006766,0.0006766
100,3621.85,1.21297,0.87414,0.00448,0.86505,0.56635,0.69674,0.51477,1.00694,0.75271,0.00502,0.0006733,0.0006733,0.0006733
101,3658.36,1.21454,0.87385,0.0046,0.87231,0.54904,0.693,0.5064,1.03335,0.78485,0.00549,0.00067,0.00067,0.00067
102,3696.11,1.20425,0.87067,0.00448,0.88517,0.56166,0.70031,0.51277,1.04816,0.77749,0.00604,0.0006667,0.0006667,0.0006667
103,3732.9,1.23209,0.88262,0.00458,0.88511,0.55812,0.69233,0.51447,1.03722,0.76976,0.00545,0.0006634,0.0006634,0.0006634
104,3770.51,1.21419,0.88172,0.0044,0.84649,0.54441,0.7104,0.5251,0.99027,0.74631,0.0049,0.0006601,0.0006601,0.0006601
105,3808.36,1.1537,0.85664,0.0045,0.79388,0.6005,0.71255,0.52599,0.99151,0.75794,0.00478,0.0006568,0.0006568,0.0006568
106,3846.42,1.18942,0.86546,0.00443,0.85601,0.55047,0.73194,0.52804,1.02023,0.76747,0.00533,0.0006535,0.0006535,0.0006535
107,3886.79,1.18479,0.8531,0.00434,0.90026,0.55708,0.71968,0.5188,1.04995,0.7451,0.00583,0.0006502,0.0006502,0.0006502
108,3927.54,1.18736,0.86172,0.00437,0.85346,0.58331,0.72835,0.53675,1.01713,0.74471,0.00531,0.0006469,0.0006469,0.0006469
109,3967.44,1.19067,0.87116,0.00433,0.83923,0.57313,0.71375,0.52627,1.01501,0.73765,0.00478,0.0006436,0.0006436,0.0006436
110,4007.05,1.19173,0.863,0.00435,0.8849,0.57777,0.70288,0.52068,1.01613,0.75418,0.00503,0.0006403,0.0006403,0.0006403
111,4046.37,1.17846,0.8617,0.00432,0.82518,0.62147,0.7449,0.54106,0.99918,0.73096,0.00485,0.000637,0.000637,0.000637
